SHEDID,time,RT,LEASE,date1,week_day
2,2015/9/2,18,20,2015-09-02,3
2,2015/9/3,18,20,2015-09-03,4
2,2015/9/4,18,20,2015-09-04,5
2,2015/9/5,18,20,2015-09-05,6
2,2015/9/6,18,20,2015-09-06,7
2,2015/9/7,18,20,2015-09-07,1
2,2015/9/8,18,20,2015-09-08,2
2,2015/9/9,18,20,2015-09-09,3
2,2015/9/10,18,20,2015-09-10,4
2,2015/9/11,18,20,2015-09-11,5
2,2015/9/12,18,20,2015-09-12,6
2,2015/9/13,18,20,2015-09-13,7
2,2015/9/14,18,20,2015-09-14,1
2,2015/9/15,18,20,2015-09-15,2
2,2015/9/16,18,20,2015-09-16,3
2,2015/9/17,18,20,2015-09-17,4
2,2015/9/18,18,20,2015-09-18,5
2,2015/9/19,18,20,2015-09-19,6
2,2015/9/20,18,20,2015-09-20,7
2,2015/9/21,18,20,2015-09-21,1
2,2015/9/22,18,20,2015-09-22,2
2,2015/9/23,18,20,2015-09-23,3
2,2015/9/24,18,20,2015-09-24,4
2,2015/9/25,18,20,2015-09-25,5
2,2015/9/26,18,20,2015-09-26,6
2,2015/9/27,18,20,2015-09-27,7
2,2015/9/28,18,20,2015-09-28,1
2,2015/9/29,18,20,2015-09-29,2
2,2015/9/30,18,20,2015-09-30,3
2,2015/10/1,18,20,2015-10-01,4
2,2015/10/2,18,20,2015-10-02,5
2,2015/10/3,18,20,2015-10-03,6
2,2015/10/4,18,20,2015-10-04,7
2,2015/10/5,18,20,2015-10-05,1
2,2015/10/6,18,20,2015-10-06,2
2,2015/10/7,18,20,2015-10-07,3
2,2015/10/8,18,20,2015-10-08,4
2,2015/10/9,18,20,2015-10-09,5
2,2015/10/10,18,20,2015-10-10,6
2,2015/10/11,18,20,2015-10-11,7
2,2015/10/12,18,20,2015-10-12,1
2,2015/10/13,18,20,2015-10-13,2
2,2015/10/14,18,20,2015-10-14,3
2,2015/10/15,18,20,2015-10-15,4
2,2015/10/16,18,20,2015-10-16,5
2,2015/10/17,18,20,2015-10-17,6
2,2015/10/18,18,20,2015-10-18,7
2,2015/10/19,18,20,2015-10-19,1
2,2015/10/20,18,20,2015-10-20,2
2,2015/10/21,18,20,2015-10-21,3
2,2015/10/22,18,20,2015-10-22,4
2,2015/10/23,18,20,2015-10-23,5
2,2015/10/24,18,20,2015-10-24,6
2,2015/10/25,18,20,2015-10-25,7
2,2015/10/26,18,20,2015-10-26,1
2,2015/10/27,18,20,2015-10-27,2
2,2015/10/28,18,20,2015-10-28,3
2,2015/10/29,18,20,2015-10-29,4
2,2015/10/30,18,20,2015-10-30,5
2,2015/10/31,18,20,2015-10-31,6
3,2015/9/1,49,49,2015-09-01,2
3,2015/9/2,49,49,2015-09-02,3
3,2015/9/3,49,49,2015-09-03,4
3,2015/9/4,49,49,2015-09-04,5
3,2015/9/5,49,49,2015-09-05,6
3,2015/9/6,49,49,2015-09-06,7
3,2015/9/7,49,49,2015-09-07,1
3,2015/9/8,49,49,2015-09-08,2
3,2015/9/9,49,49,2015-09-09,3
3,2015/9/10,49,49,2015-09-10,4
3,2015/9/11,49,49,2015-09-11,5
3,2015/9/12,49,49,2015-09-12,6
3,2015/9/13,49,49,2015-09-13,7
3,2015/9/14,49,49,2015-09-14,1
3,2015/9/15,49,49,2015-09-15,2
3,2015/9/16,49,49,2015-09-16,3
3,2015/9/17,49,49,2015-09-17,4
3,2015/9/18,49,49,2015-09-18,5
3,2015/9/19,49,49,2015-09-19,6
3,2015/9/20,49,49,2015-09-20,7
3,2015/9/21,49,49,2015-09-21,1
3,2015/9/22,49,49,2015-09-22,2
3,2015/9/23,49,49,2015-09-23,3
3,2015/9/24,49,49,2015-09-24,4
3,2015/9/25,49,49,2015-09-25,5
3,2015/9/26,49,49,2015-09-26,6
3,2015/9/27,49,49,2015-09-27,7
3,2015/9/28,49,49,2015-09-28,1
3,2015/9/29,49,49,2015-09-29,2
3,2015/9/30,49,49,2015-09-30,3
3,2015/10/1,49,49,2015-10-01,4
3,2015/10/2,49,49,2015-10-02,5
3,2015/10/3,49,49,2015-10-03,6
3,2015/10/4,49,49,2015-10-04,7
3,2015/10/5,49,49,2015-10-05,1
3,2015/10/6,49,49,2015-10-06,2
3,2015/10/7,49,49,2015-10-07,3
3,2015/10/8,49,49,2015-10-08,4
3,2015/10/9,49,49,2015-10-09,5
3,2015/10/10,49,49,2015-10-10,6
3,2015/10/11,49,49,2015-10-11,7
3,2015/10/12,49,49,2015-10-12,1
3,2015/10/13,49,49,2015-10-13,2
3,2015/10/14,49,49,2015-10-14,3
3,2015/10/15,49,49,2015-10-15,4
3,2015/10/16,49,49,2015-10-16,5
3,2015/10/17,49,49,2015-10-17,6
3,2015/10/18,49,49,2015-10-18,7
3,2015/10/19,49,49,2015-10-19,1
3,2015/10/20,49,49,2015-10-20,2
3,2015/10/21,49,49,2015-10-21,3
3,2015/10/22,49,49,2015-10-22,4
3,2015/10/23,49,49,2015-10-23,5
3,2015/10/24,49,49,2015-10-24,6
3,2015/10/25,49,49,2015-10-25,7
3,2015/10/26,49,49,2015-10-26,1
3,2015/10/27,49,49,2015-10-27,2
3,2015/10/28,49,49,2015-10-28,3
3,2015/10/29,49,49,2015-10-29,4
3,2015/10/30,49,49,2015-10-30,5
3,2015/10/31,49,49,2015-10-31,6
4,2015/9/1,0,1,2015-09-01,2
4,2015/9/2,0,1,2015-09-02,3
4,2015/9/3,0,1,2015-09-03,4
4,2015/9/4,0,1,2015-09-04,5
4,2015/9/5,0,1,2015-09-05,6
4,2015/9/6,0,1,2015-09-06,7
4,2015/9/7,0,1,2015-09-07,1
4,2015/9/8,0,1,2015-09-08,2
4,2015/9/9,0,1,2015-09-09,3
4,2015/9/10,0,1,2015-09-10,4
4,2015/9/11,0,1,2015-09-11,5
4,2015/9/12,0,1,2015-09-12,6
4,2015/9/13,0,1,2015-09-13,7
4,2015/9/14,0,1,2015-09-14,1
4,2015/9/15,0,1,2015-09-15,2
4,2015/9/16,0,1,2015-09-16,3
4,2015/9/17,0,1,2015-09-17,4
4,2015/9/18,0,1,2015-09-18,5
4,2015/9/19,0,1,2015-09-19,6
4,2015/9/20,0,1,2015-09-20,7
4,2015/9/21,0,1,2015-09-21,1
4,2015/9/22,0,1,2015-09-22,2
4,2015/9/23,0,1,2015-09-23,3
4,2015/9/24,0,1,2015-09-24,4
4,2015/9/25,0,1,2015-09-25,5
4,2015/9/26,0,1,2015-09-26,6
4,2015/9/27,0,1,2015-09-27,7
4,2015/9/28,0,1,2015-09-28,1
4,2015/9/29,0,1,2015-09-29,2
4,2015/9/30,0,1,2015-09-30,3
4,2015/10/1,0,1,2015-10-01,4
4,2015/10/2,0,1,2015-10-02,5
4,2015/10/3,0,1,2015-10-03,6
4,2015/10/4,0,1,2015-10-04,7
4,2015/10/5,0,1,2015-10-05,1
4,2015/10/6,0,1,2015-10-06,2
4,2015/10/7,0,1,2015-10-07,3
4,2015/10/8,0,1,2015-10-08,4
4,2015/10/9,0,1,2015-10-09,5
4,2015/10/10,0,1,2015-10-10,6
4,2015/10/11,0,1,2015-10-11,7
4,2015/10/12,0,1,2015-10-12,1
4,2015/10/13,0,1,2015-10-13,2
4,2015/10/14,0,1,2015-10-14,3
4,2015/10/15,0,1,2015-10-15,4
4,2015/10/16,0,1,2015-10-16,5
4,2015/10/17,0,1,2015-10-17,6
4,2015/10/18,0,1,2015-10-18,7
4,2015/10/19,0,1,2015-10-19,1
4,2015/10/20,0,1,2015-10-20,2
4,2015/10/21,0,1,2015-10-21,3
4,2015/10/22,0,1,2015-10-22,4
4,2015/10/23,0,1,2015-10-23,5
4,2015/10/24,0,1,2015-10-24,6
4,2015/10/25,0,1,2015-10-25,7
4,2015/10/26,0,1,2015-10-26,1
4,2015/10/27,0,1,2015-10-27,2
4,2015/10/28,0,1,2015-10-28,3
4,2015/10/29,0,1,2015-10-29,4
4,2015/10/30,0,1,2015-10-30,5
4,2015/10/31,0,1,2015-10-31,6
5,2015/9/1,41,48,2015-09-01,2
5,2015/9/2,41,48,2015-09-02,3
5,2015/9/3,41,48,2015-09-03,4
5,2015/9/4,41,48,2015-09-04,5
5,2015/9/5,41,48,2015-09-05,6
5,2015/9/6,41,48,2015-09-06,7
5,2015/9/7,41,48,2015-09-07,1
5,2015/9/8,41,48,2015-09-08,2
5,2015/9/9,41,48,2015-09-09,3
5,2015/9/10,41,48,2015-09-10,4
5,2015/9/11,41,48,2015-09-11,5
5,2015/9/12,41,48,2015-09-12,6
5,2015/9/13,41,48,2015-09-13,7
5,2015/9/14,41,48,2015-09-14,1
5,2015/9/15,41,48,2015-09-15,2
5,2015/9/16,41,48,2015-09-16,3
5,2015/9/17,41,48,2015-09-17,4
5,2015/9/18,41,48,2015-09-18,5
5,2015/9/19,41,48,2015-09-19,6
5,2015/9/20,41,48,2015-09-20,7
5,2015/9/21,41,48,2015-09-21,1
5,2015/9/22,41,48,2015-09-22,2
5,2015/9/23,41,48,2015-09-23,3
5,2015/9/24,41,48,2015-09-24,4
5,2015/9/25,41,48,2015-09-25,5
5,2015/9/26,41,48,2015-09-26,6
5,2015/9/27,41,48,2015-09-27,7
5,2015/9/28,41,48,2015-09-28,1
5,2015/9/29,41,48,2015-09-29,2
5,2015/9/30,41,48,2015-09-30,3
5,2015/10/1,41,48,2015-10-01,4
5,2015/10/2,41,48,2015-10-02,5
5,2015/10/3,41,48,2015-10-03,6
5,2015/10/4,41,48,2015-10-04,7
5,2015/10/5,41,48,2015-10-05,1
5,2015/10/6,41,48,2015-10-06,2
5,2015/10/7,41,48,2015-10-07,3
5,2015/10/8,41,48,2015-10-08,4
5,2015/10/9,41,48,2015-10-09,5
5,2015/10/10,41,48,2015-10-10,6
5,2015/10/11,41,48,2015-10-11,7
5,2015/10/12,41,48,2015-10-12,1
5,2015/10/13,41,48,2015-10-13,2
5,2015/10/14,41,48,2015-10-14,3
5,2015/10/15,41,48,2015-10-15,4
5,2015/10/16,41,48,2015-10-16,5
5,2015/10/17,41,48,2015-10-17,6
5,2015/10/18,41,48,2015-10-18,7
5,2015/10/19,41,48,2015-10-19,1
5,2015/10/20,41,48,2015-10-20,2
5,2015/10/21,41,48,2015-10-21,3
5,2015/10/22,41,48,2015-10-22,4
5,2015/10/23,41,48,2015-10-23,5
5,2015/10/24,41,48,2015-10-24,6
5,2015/10/25,41,48,2015-10-25,7
5,2015/10/26,41,48,2015-10-26,1
5,2015/10/27,41,48,2015-10-27,2
5,2015/10/28,41,48,2015-10-28,3
5,2015/10/29,41,48,2015-10-29,4
5,2015/10/30,41,48,2015-10-30,5
5,2015/10/31,41,48,2015-10-31,6
6,2015/9/1,34,40,2015-09-01,2
6,2015/9/2,34,40,2015-09-02,3
6,2015/9/3,34,40,2015-09-03,4
6,2015/9/4,34,40,2015-09-04,5
6,2015/9/5,34,40,2015-09-05,6
6,2015/9/6,34,40,2015-09-06,7
6,2015/9/7,34,40,2015-09-07,1
6,2015/9/8,34,40,2015-09-08,2
6,2015/9/9,34,40,2015-09-09,3
6,2015/9/10,34,40,2015-09-10,4
6,2015/9/11,34,40,2015-09-11,5
6,2015/9/12,34,40,2015-09-12,6
6,2015/9/13,34,40,2015-09-13,7
6,2015/9/14,34,40,2015-09-14,1
6,2015/9/15,34,40,2015-09-15,2
6,2015/9/16,34,40,2015-09-16,3
6,2015/9/17,34,40,2015-09-17,4
6,2015/9/18,34,40,2015-09-18,5
6,2015/9/19,34,40,2015-09-19,6
6,2015/9/20,34,40,2015-09-20,7
6,2015/9/21,34,40,2015-09-21,1
6,2015/9/22,34,40,2015-09-22,2
6,2015/9/23,34,40,2015-09-23,3
6,2015/9/24,34,40,2015-09-24,4
6,2015/9/25,34,40,2015-09-25,5
6,2015/9/26,34,40,2015-09-26,6
6,2015/9/27,34,40,2015-09-27,7
6,2015/9/28,34,40,2015-09-28,1
6,2015/9/29,34,40,2015-09-29,2
6,2015/9/30,34,40,2015-09-30,3
6,2015/10/1,34,40,2015-10-01,4
6,2015/10/2,34,40,2015-10-02,5
6,2015/10/3,34,40,2015-10-03,6
6,2015/10/4,34,40,2015-10-04,7
6,2015/10/5,34,40,2015-10-05,1
6,2015/10/6,34,40,2015-10-06,2
6,2015/10/7,34,40,2015-10-07,3
6,2015/10/8,34,40,2015-10-08,4
6,2015/10/9,34,40,2015-10-09,5
6,2015/10/10,34,40,2015-10-10,6
6,2015/10/11,34,40,2015-10-11,7
6,2015/10/12,34,40,2015-10-12,1
6,2015/10/13,34,40,2015-10-13,2
6,2015/10/14,34,40,2015-10-14,3
6,2015/10/15,34,40,2015-10-15,4
6,2015/10/16,34,40,2015-10-16,5
6,2015/10/17,34,40,2015-10-17,6
6,2015/10/18,34,40,2015-10-18,7
6,2015/10/19,34,40,2015-10-19,1
6,2015/10/20,34,40,2015-10-20,2
6,2015/10/21,34,40,2015-10-21,3
6,2015/10/22,34,40,2015-10-22,4
6,2015/10/23,34,40,2015-10-23,5
6,2015/10/24,34,40,2015-10-24,6
6,2015/10/25,34,40,2015-10-25,7
6,2015/10/26,34,40,2015-10-26,1
6,2015/10/27,34,40,2015-10-27,2
6,2015/10/28,34,40,2015-10-28,3
6,2015/10/29,34,40,2015-10-29,4
6,2015/10/30,34,40,2015-10-30,5
6,2015/10/31,34,40,2015-10-31,6
7,2015/9/1,58,57,2015-09-01,2
7,2015/9/2,58,57,2015-09-02,3
7,2015/9/3,58,57,2015-09-03,4
7,2015/9/4,58,57,2015-09-04,5
7,2015/9/5,58,57,2015-09-05,6
7,2015/9/6,58,57,2015-09-06,7
7,2015/9/7,58,57,2015-09-07,1
7,2015/9/8,58,57,2015-09-08,2
7,2015/9/9,58,57,2015-09-09,3
7,2015/9/10,58,57,2015-09-10,4
7,2015/9/11,58,57,2015-09-11,5
7,2015/9/12,58,57,2015-09-12,6
7,2015/9/13,58,57,2015-09-13,7
7,2015/9/14,58,57,2015-09-14,1
7,2015/9/15,58,57,2015-09-15,2
7,2015/9/16,58,57,2015-09-16,3
7,2015/9/17,58,57,2015-09-17,4
7,2015/9/18,58,57,2015-09-18,5
7,2015/9/19,58,57,2015-09-19,6
7,2015/9/20,58,57,2015-09-20,7
7,2015/9/21,58,57,2015-09-21,1
7,2015/9/22,58,57,2015-09-22,2
7,2015/9/23,58,57,2015-09-23,3
7,2015/9/24,58,57,2015-09-24,4
7,2015/9/25,58,57,2015-09-25,5
7,2015/9/26,58,57,2015-09-26,6
7,2015/9/27,58,57,2015-09-27,7
7,2015/9/28,58,57,2015-09-28,1
7,2015/9/29,58,57,2015-09-29,2
7,2015/9/30,58,57,2015-09-30,3
7,2015/10/1,58,57,2015-10-01,4
7,2015/10/2,58,57,2015-10-02,5
7,2015/10/3,58,57,2015-10-03,6
7,2015/10/4,58,57,2015-10-04,7
7,2015/10/5,58,57,2015-10-05,1
7,2015/10/6,58,57,2015-10-06,2
7,2015/10/7,58,57,2015-10-07,3
7,2015/10/8,58,57,2015-10-08,4
7,2015/10/9,58,57,2015-10-09,5
7,2015/10/10,58,57,2015-10-10,6
7,2015/10/11,58,57,2015-10-11,7
7,2015/10/12,58,57,2015-10-12,1
7,2015/10/13,58,57,2015-10-13,2
7,2015/10/14,58,57,2015-10-14,3
7,2015/10/15,58,57,2015-10-15,4
7,2015/10/16,58,57,2015-10-16,5
7,2015/10/17,58,57,2015-10-17,6
7,2015/10/18,58,57,2015-10-18,7
7,2015/10/19,58,57,2015-10-19,1
7,2015/10/20,58,57,2015-10-20,2
7,2015/10/21,58,57,2015-10-21,3
7,2015/10/22,58,57,2015-10-22,4
7,2015/10/23,58,57,2015-10-23,5
7,2015/10/24,58,57,2015-10-24,6
7,2015/10/25,58,57,2015-10-25,7
7,2015/10/26,58,57,2015-10-26,1
7,2015/10/27,58,57,2015-10-27,2
7,2015/10/28,58,57,2015-10-28,3
7,2015/10/29,58,57,2015-10-29,4
7,2015/10/30,58,57,2015-10-30,5
7,2015/10/31,58,57,2015-10-31,6
8,2015/9/1,91,88,2015-09-01,2
8,2015/9/2,91,88,2015-09-02,3
8,2015/9/3,91,88,2015-09-03,4
8,2015/9/4,91,88,2015-09-04,5
8,2015/9/5,91,88,2015-09-05,6
8,2015/9/6,91,88,2015-09-06,7
8,2015/9/7,91,88,2015-09-07,1
8,2015/9/8,91,88,2015-09-08,2
8,2015/9/9,91,88,2015-09-09,3
8,2015/9/10,91,88,2015-09-10,4
8,2015/9/11,91,88,2015-09-11,5
8,2015/9/12,91,88,2015-09-12,6
8,2015/9/13,91,88,2015-09-13,7
8,2015/9/14,91,88,2015-09-14,1
8,2015/9/15,91,88,2015-09-15,2
8,2015/9/16,91,88,2015-09-16,3
8,2015/9/17,91,88,2015-09-17,4
8,2015/9/18,91,88,2015-09-18,5
8,2015/9/19,91,88,2015-09-19,6
8,2015/9/20,91,88,2015-09-20,7
8,2015/9/21,91,88,2015-09-21,1
8,2015/9/22,91,88,2015-09-22,2
8,2015/9/23,91,88,2015-09-23,3
8,2015/9/24,91,88,2015-09-24,4
8,2015/9/25,91,88,2015-09-25,5
8,2015/9/26,91,88,2015-09-26,6
8,2015/9/27,91,88,2015-09-27,7
8,2015/9/28,91,88,2015-09-28,1
8,2015/9/29,91,88,2015-09-29,2
8,2015/9/30,91,88,2015-09-30,3
8,2015/10/1,91,88,2015-10-01,4
8,2015/10/2,91,88,2015-10-02,5
8,2015/10/3,91,88,2015-10-03,6
8,2015/10/4,91,88,2015-10-04,7
8,2015/10/5,91,88,2015-10-05,1
8,2015/10/6,91,88,2015-10-06,2
8,2015/10/7,91,88,2015-10-07,3
8,2015/10/8,91,88,2015-10-08,4
8,2015/10/9,91,88,2015-10-09,5
8,2015/10/10,91,88,2015-10-10,6
8,2015/10/11,91,88,2015-10-11,7
8,2015/10/12,91,88,2015-10-12,1
8,2015/10/13,91,88,2015-10-13,2
8,2015/10/14,91,88,2015-10-14,3
8,2015/10/15,91,88,2015-10-15,4
8,2015/10/16,91,88,2015-10-16,5
8,2015/10/17,91,88,2015-10-17,6
8,2015/10/18,91,88,2015-10-18,7
8,2015/10/19,91,88,2015-10-19,1
8,2015/10/20,91,88,2015-10-20,2
8,2015/10/21,91,88,2015-10-21,3
8,2015/10/22,91,88,2015-10-22,4
8,2015/10/23,91,88,2015-10-23,5
8,2015/10/24,91,88,2015-10-24,6
8,2015/10/25,91,88,2015-10-25,7
8,2015/10/26,91,88,2015-10-26,1
8,2015/10/27,91,88,2015-10-27,2
8,2015/10/28,91,88,2015-10-28,3
8,2015/10/29,91,88,2015-10-29,4
8,2015/10/30,91,88,2015-10-30,5
8,2015/10/31,91,88,2015-10-31,6
9,2015/9/1,87,99,2015-09-01,2
9,2015/9/2,87,99,2015-09-02,3
9,2015/9/3,87,99,2015-09-03,4
9,2015/9/4,87,99,2015-09-04,5
9,2015/9/5,87,99,2015-09-05,6
9,2015/9/6,87,99,2015-09-06,7
9,2015/9/7,87,99,2015-09-07,1
9,2015/9/8,87,99,2015-09-08,2
9,2015/9/9,87,99,2015-09-09,3
9,2015/9/10,87,99,2015-09-10,4
9,2015/9/11,87,99,2015-09-11,5
9,2015/9/12,87,99,2015-09-12,6
9,2015/9/13,87,99,2015-09-13,7
9,2015/9/14,87,99,2015-09-14,1
9,2015/9/15,87,99,2015-09-15,2
9,2015/9/16,87,99,2015-09-16,3
9,2015/9/17,87,99,2015-09-17,4
9,2015/9/18,87,99,2015-09-18,5
9,2015/9/19,87,99,2015-09-19,6
9,2015/9/20,87,99,2015-09-20,7
9,2015/9/21,87,99,2015-09-21,1
9,2015/9/22,87,99,2015-09-22,2
9,2015/9/23,87,99,2015-09-23,3
9,2015/9/24,87,99,2015-09-24,4
9,2015/9/25,87,99,2015-09-25,5
9,2015/9/26,87,99,2015-09-26,6
9,2015/9/27,87,99,2015-09-27,7
9,2015/9/28,87,99,2015-09-28,1
9,2015/9/29,87,99,2015-09-29,2
9,2015/9/30,87,99,2015-09-30,3
9,2015/10/1,87,99,2015-10-01,4
9,2015/10/2,87,99,2015-10-02,5
9,2015/10/3,87,99,2015-10-03,6
9,2015/10/4,87,99,2015-10-04,7
9,2015/10/5,87,99,2015-10-05,1
9,2015/10/6,87,99,2015-10-06,2
9,2015/10/7,87,99,2015-10-07,3
9,2015/10/8,87,99,2015-10-08,4
9,2015/10/9,87,99,2015-10-09,5
9,2015/10/10,87,99,2015-10-10,6
9,2015/10/11,87,99,2015-10-11,7
9,2015/10/12,87,99,2015-10-12,1
9,2015/10/13,87,99,2015-10-13,2
9,2015/10/14,87,99,2015-10-14,3
9,2015/10/15,87,99,2015-10-15,4
9,2015/10/16,87,99,2015-10-16,5
9,2015/10/17,87,99,2015-10-17,6
9,2015/10/18,87,99,2015-10-18,7
9,2015/10/19,87,99,2015-10-19,1
9,2015/10/20,87,99,2015-10-20,2
9,2015/10/21,87,99,2015-10-21,3
9,2015/10/22,87,99,2015-10-22,4
9,2015/10/23,87,99,2015-10-23,5
9,2015/10/24,87,99,2015-10-24,6
9,2015/10/25,87,99,2015-10-25,7
9,2015/10/26,87,99,2015-10-26,1
9,2015/10/27,87,99,2015-10-27,2
9,2015/10/28,87,99,2015-10-28,3
9,2015/10/29,87,99,2015-10-29,4
9,2015/10/30,87,99,2015-10-30,5
9,2015/10/31,87,99,2015-10-31,6
10,2015/9/1,55,63,2015-09-01,2
10,2015/9/2,55,63,2015-09-02,3
10,2015/9/3,55,63,2015-09-03,4
10,2015/9/4,55,63,2015-09-04,5
10,2015/9/5,55,63,2015-09-05,6
10,2015/9/6,55,63,2015-09-06,7
10,2015/9/7,55,63,2015-09-07,1
10,2015/9/8,55,63,2015-09-08,2
10,2015/9/9,55,63,2015-09-09,3
10,2015/9/10,55,63,2015-09-10,4
10,2015/9/11,55,63,2015-09-11,5
10,2015/9/12,55,63,2015-09-12,6
10,2015/9/13,55,63,2015-09-13,7
10,2015/9/14,55,63,2015-09-14,1
10,2015/9/15,55,63,2015-09-15,2
10,2015/9/16,55,63,2015-09-16,3
10,2015/9/17,55,63,2015-09-17,4
10,2015/9/18,55,63,2015-09-18,5
10,2015/9/19,55,63,2015-09-19,6
10,2015/9/20,55,63,2015-09-20,7
10,2015/9/21,55,63,2015-09-21,1
10,2015/9/22,55,63,2015-09-22,2
10,2015/9/23,55,63,2015-09-23,3
10,2015/9/24,55,63,2015-09-24,4
10,2015/9/25,55,63,2015-09-25,5
10,2015/9/26,55,63,2015-09-26,6
10,2015/9/27,55,63,2015-09-27,7
10,2015/9/28,55,63,2015-09-28,1
10,2015/9/29,55,63,2015-09-29,2
10,2015/9/30,55,63,2015-09-30,3
10,2015/10/1,55,63,2015-10-01,4
10,2015/10/2,55,63,2015-10-02,5
10,2015/10/3,55,63,2015-10-03,6
10,2015/10/4,55,63,2015-10-04,7
10,2015/10/5,55,63,2015-10-05,1
10,2015/10/6,55,63,2015-10-06,2
10,2015/10/7,55,63,2015-10-07,3
10,2015/10/8,55,63,2015-10-08,4
10,2015/10/9,55,63,2015-10-09,5
10,2015/10/10,55,63,2015-10-10,6
10,2015/10/11,55,63,2015-10-11,7
10,2015/10/12,55,63,2015-10-12,1
10,2015/10/13,55,63,2015-10-13,2
10,2015/10/14,55,63,2015-10-14,3
10,2015/10/15,55,63,2015-10-15,4
10,2015/10/16,55,63,2015-10-16,5
10,2015/10/17,55,63,2015-10-17,6
10,2015/10/18,55,63,2015-10-18,7
10,2015/10/19,55,63,2015-10-19,1
10,2015/10/20,55,63,2015-10-20,2
10,2015/10/21,55,63,2015-10-21,3
10,2015/10/22,55,63,2015-10-22,4
10,2015/10/23,55,63,2015-10-23,5
10,2015/10/24,55,63,2015-10-24,6
10,2015/10/25,55,63,2015-10-25,7
10,2015/10/26,55,63,2015-10-26,1
10,2015/10/27,55,63,2015-10-27,2
10,2015/10/28,55,63,2015-10-28,3
10,2015/10/29,55,63,2015-10-29,4
10,2015/10/30,55,63,2015-10-30,5
10,2015/10/31,55,63,2015-10-31,6
11,2015/9/1,50,46,2015-09-01,2
11,2015/9/2,50,46,2015-09-02,3
11,2015/9/3,50,46,2015-09-03,4
11,2015/9/4,50,46,2015-09-04,5
11,2015/9/5,50,46,2015-09-05,6
11,2015/9/6,50,46,2015-09-06,7
11,2015/9/7,50,46,2015-09-07,1
11,2015/9/8,50,46,2015-09-08,2
11,2015/9/9,50,46,2015-09-09,3
11,2015/9/10,50,46,2015-09-10,4
11,2015/9/11,50,46,2015-09-11,5
11,2015/9/12,50,46,2015-09-12,6
11,2015/9/13,50,46,2015-09-13,7
11,2015/9/14,50,46,2015-09-14,1
11,2015/9/15,50,46,2015-09-15,2
11,2015/9/16,50,46,2015-09-16,3
11,2015/9/17,50,46,2015-09-17,4
11,2015/9/18,50,46,2015-09-18,5
11,2015/9/19,50,46,2015-09-19,6
11,2015/9/20,50,46,2015-09-20,7
11,2015/9/21,50,46,2015-09-21,1
11,2015/9/22,50,46,2015-09-22,2
11,2015/9/23,50,46,2015-09-23,3
11,2015/9/24,50,46,2015-09-24,4
