SHEDID,time,RT,LEASE
1,2015-05-27,34.0,38.0
1,2015-05-28,91.0,85.0
1,2015-05-29,53.0,27.0
1,2015-05-30,39.0,40.0
1,2015-05-31,27.0,32.0
1,2015-06-01,106.0,90.0
1,2015-06-02,58.0,45.0
1,2015-06-03,99.0,93.0
1,2015-06-04,90.0,69.0
1,2015-06-05,91.0,85.0
1,2015-06-06,34.0,27.0
1,2015-06-07,27.0,29.0
1,2015-06-08,124.0,115.0
1,2015-06-09,98.0,83.0
1,2015-06-10,74.0,53.0
1,2015-06-11,98.0,101.0
1,2015-06-12,72.0,69.0
1,2015-06-13,27.0,21.0
1,2015-06-14,28.0,26.0
1,2015-06-15,92.0,87.0
1,2015-06-16,67.0,52.0
1,2015-06-17,45.0,61.0
1,2015-06-18,94.0,80.0
1,2015-06-19,82.0,84.0
1,2015-06-20,27.0,20.0
1,2015-06-21,22.0,27.0
1,2015-06-22,21.0,21.0
1,2015-06-23,79.0,59.0
1,2015-06-24,9.0,11.0
1,2015-06-25,16.0,35.0
1,2015-06-26,68.0,66.0
1,2015-06-27,13.0,16.0
1,2015-06-28,34.0,30.0
1,2015-06-29,61.0,41.0
1,2015-06-30,46.0,61.0
1,2015-07-01,68.0,74.0
1,2015-07-02,83.0,76.0
1,2015-07-03,82.0,93.0
1,2015-07-04,36.0,33.0
1,2015-07-05,39.0,32.0
1,2015-07-06,74.0,50.0
1,2015-07-07,78.0,69.0
1,2015-07-08,107.0,98.0
1,2015-07-09,72.0,76.0
1,2015-07-10,78.0,66.0
1,2015-07-11,17.0,17.0
1,2015-07-12,16.0,19.0
1,2015-07-13,97.0,81.0
1,2015-07-14,79.0,61.0
1,2015-07-15,76.0,60.0
1,2015-07-16,67.0,70.0
1,2015-07-17,28.0,36.0
1,2015-07-18,12.0,14.0
1,2015-07-19,12.0,12.0
1,2015-07-20,105.0,100.0
1,2015-07-21,76.0,74.0
1,2015-07-22,77.0,65.0
1,2015-07-23,72.0,67.0
1,2015-07-24,44.0,36.0
1,2015-07-25,41.0,30.0
1,2015-07-26,27.0,23.0
1,2015-07-27,81.0,78.0
1,2015-07-28,59.0,46.0
1,2015-07-29,37.0,45.0
1,2015-07-30,47.0,55.0
1,2015-07-31,46.0,33.0
1,2015-08-01,17.0,15.0
1,2015-08-02,25.0,27.0
1,2015-08-03,51.0,59.0
1,2015-08-04,24.0,44.0
1,2015-08-05,35.0,32.0
1,2015-08-06,35.0,36.0
1,2015-08-07,41.0,36.0
1,2015-08-08,24.0,21.0
1,2015-08-09,26.0,10.0
1,2015-08-10,6.0,9.0
1,2015-08-11,49.0,66.0
1,2015-08-12,61.0,61.0
1,2015-08-13,44.0,43.0
1,2015-08-14,50.0,45.0
1,2015-08-15,28.0,19.0
1,2015-08-16,17.0,21.0
1,2015-08-17,45.0,54.0
1,2015-08-18,51.0,47.0
1,2015-08-19,29.0,26.0
1,2015-08-20,21.0,33.0
1,2015-08-21,48.0,35.0
1,2015-08-22,27.0,26.0
1,2015-08-23,13.0,17.0
1,2015-08-24,41.0,58.0
1,2015-08-25,46.0,55.0
1,2015-08-26,40.0,44.0
1,2015-08-27,39.0,46.0
1,2015-08-28,38.0,51.0
1,2015-08-29,16.0,12.0
1,2015-08-30,26.0,23.0
1,2015-08-31,53.0,59.0
2,2015-01-01,5.0,5.0
2,2015-01-02,9.0,9.0
2,2015-01-03,2.0,6.0
2,2015-01-04,10.0,6.0
2,2015-01-05,12.0,9.0
2,2015-01-06,11.0,6.0
2,2015-01-07,7.0,7.0
2,2015-01-08,13.0,6.0
2,2015-01-09,15.0,9.0
2,2015-01-10,12.0,9.0
2,2015-01-11,10.0,12.0
2,2015-01-12,4.0,8.0
2,2015-01-13,16.0,14.0
2,2015-01-14,16.0,12.0
2,2015-01-15,9.0,16.0
2,2015-01-16,11.0,12.0
2,2015-01-17,12.0,7.0
2,2015-01-18,11.0,11.0
2,2015-01-19,13.0,19.0
2,2015-01-20,16.0,18.0
2,2015-01-21,14.0,23.0
2,2015-01-22,14.0,17.0
2,2015-01-23,10.0,17.0
2,2015-01-24,15.0,10.0
2,2015-01-25,0.0,4.0
2,2015-01-26,19.0,19.0
2,2015-01-27,17.0,17.0
2,2015-01-28,18.0,17.0
2,2015-01-29,8.0,12.0
2,2015-01-30,5.0,13.0
2,2015-01-31,9.0,10.0
2,2015-02-01,10.0,8.0
2,2015-02-02,7.0,13.0
2,2015-02-03,9.0,14.0
2,2015-02-04,11.0,14.0
2,2015-02-05,15.0,17.0
2,2015-02-06,18.0,18.0
2,2015-02-07,14.0,17.0
2,2015-02-08,6.0,7.0
2,2015-02-09,8.0,8.0
2,2015-02-10,17.0,14.0
2,2015-02-11,13.0,27.0
2,2015-02-12,13.0,21.0
2,2015-02-13,15.0,20.0
2,2015-02-14,9.0,8.0
2,2015-02-15,8.0,7.0
2,2015-02-16,11.0,16.0
2,2015-02-17,10.0,7.0
2,2015-02-18,3.0,8.0
2,2015-02-19,4.0,4.0
2,2015-02-20,1.0,1.0
2,2015-02-21,3.0,2.0
2,2015-02-22,5.0,2.0
2,2015-02-23,2.0,5.0
2,2015-02-24,10.0,9.0
2,2015-02-25,16.0,15.0
2,2015-02-26,23.0,24.0
2,2015-02-27,16.0,14.0
2,2015-02-28,9.0,11.0
2,2015-03-01,14.0,15.0
2,2015-03-02,19.0,20.0
2,2015-03-03,15.0,15.0
2,2015-03-04,15.0,18.0
2,2015-03-05,20.0,27.0
2,2015-03-06,21.0,18.0
2,2015-03-07,17.0,27.0
2,2015-03-08,12.0,8.0
2,2015-03-09,14.0,21.0
2,2015-03-10,17.0,16.0
2,2015-03-11,14.0,19.0
2,2015-03-12,18.0,23.0
2,2015-03-13,21.0,25.0
2,2015-03-14,19.0,22.0
2,2015-03-15,9.0,20.0
2,2015-03-16,17.0,26.0
2,2015-03-17,14.0,10.0
2,2015-03-18,6.0,3.0
2,2015-03-19,16.0,23.0
2,2015-03-20,28.0,30.0
2,2015-03-21,16.0,23.0
2,2015-03-22,17.0,18.0
2,2015-03-23,23.0,22.0
2,2015-03-24,20.0,27.0
2,2015-03-25,24.0,24.0
2,2015-03-26,16.0,28.0
2,2015-03-27,23.0,20.0
2,2015-03-28,24.0,24.0
2,2015-03-29,16.0,24.0
2,2015-03-30,29.0,28.0
2,2015-03-31,17.0,27.0
2,2015-04-01,23.0,22.0
2,2015-04-02,18.0,20.0
2,2015-04-03,23.0,18.0
2,2015-04-04,7.0,9.0
2,2015-04-05,10.0,7.0
2,2015-04-06,12.0,17.0
2,2015-04-07,23.0,27.0
2,2015-04-08,22.0,21.0
2,2015-04-09,26.0,35.0
2,2015-04-10,27.0,34.0
2,2015-04-11,25.0,24.0
2,2015-04-12,14.0,23.0
2,2015-04-13,22.0,25.0
2,2015-04-14,26.0,25.0
2,2015-04-15,17.0,22.0
2,2015-04-16,27.0,27.0
2,2015-04-17,27.0,31.0
2,2015-04-18,21.0,25.0
2,2015-04-19,14.0,6.0
2,2015-04-20,25.0,31.0
2,2015-04-21,23.0,36.0
2,2015-04-22,36.0,38.0
2,2015-04-23,34.0,30.0
2,2015-04-24,27.0,36.0
2,2015-04-25,23.0,33.0
2,2015-04-26,23.0,22.0
2,2015-04-27,20.0,36.0
2,2015-04-28,23.0,21.0
2,2015-04-29,31.0,30.0
2,2015-04-30,36.0,44.0
2,2015-05-01,20.0,21.0
2,2015-05-02,1.0,9.0
2,2015-05-03,20.0,26.0
2,2015-05-04,18.0,31.0
2,2015-05-05,34.0,34.0
2,2015-05-06,44.0,48.0
2,2015-05-07,28.0,36.0
2,2015-05-08,23.0,28.0
2,2015-05-09,14.0,25.0
2,2015-05-10,9.0,13.0
2,2015-05-11,18.0,24.0
2,2015-05-12,21.0,38.0
2,2015-05-13,26.0,35.0
2,2015-05-14,20.0,24.0
2,2015-05-15,20.0,21.0
2,2015-05-16,27.0,30.0
2,2015-05-17,20.0,34.0
2,2015-05-18,25.0,32.0
2,2015-05-19,29.0,31.0
2,2015-05-20,25.0,24.0
2,2015-05-21,29.0,32.0
2,2015-05-22,23.0,23.0
2,2015-05-23,21.0,15.0
2,2015-05-24,12.0,20.0
2,2015-05-25,30.0,22.0
2,2015-05-26,21.0,27.0
2,2015-05-27,7.0,8.0
2,2015-05-28,31.0,28.0
2,2015-05-29,21.0,17.0
2,2015-05-30,20.0,22.0
2,2015-05-31,13.0,23.0
2,2015-06-01,34.0,34.0
2,2015-06-02,23.0,20.0
2,2015-06-03,22.0,30.0
2,2015-06-04,30.0,31.0
2,2015-06-05,23.0,28.0
2,2015-06-06,10.0,22.0
2,2015-06-07,23.0,26.0
2,2015-06-08,26.0,28.0
2,2015-06-09,29.0,33.0
2,2015-06-10,24.0,26.0
2,2015-06-11,31.0,26.0
2,2015-06-12,25.0,36.0
2,2015-06-13,16.0,18.0
2,2015-06-14,12.0,17.0
2,2015-06-15,32.0,27.0
2,2015-06-16,15.0,23.0
2,2015-06-17,20.0,23.0
2,2015-06-18,24.0,24.0
2,2015-06-19,31.0,33.0
2,2015-06-20,13.0,23.0
2,2015-06-21,13.0,19.0
2,2015-06-22,16.0,20.0
2,2015-06-23,27.0,30.0
2,2015-06-24,2.0,7.0
2,2015-06-25,12.0,17.0
2,2015-06-26,27.0,23.0
2,2015-06-27,14.0,11.0
2,2015-06-28,19.0,28.0
2,2015-06-29,22.0,17.0
2,2015-06-30,10.0,13.0
2,2015-07-01,26.0,28.0
2,2015-07-02,30.0,31.0
2,2015-07-03,23.0,28.0
2,2015-07-04,20.0,21.0
2,2015-07-05,18.0,28.0
2,2015-07-06,18.0,21.0
2,2015-07-07,27.0,24.0
2,2015-07-08,25.0,26.0
2,2015-07-09,33.0,23.0
2,2015-07-10,29.0,32.0
2,2015-07-11,7.0,10.0
2,2015-07-12,9.0,14.0
2,2015-07-13,22.0,30.0
2,2015-07-14,23.0,25.0
2,2015-07-15,30.0,31.0
2,2015-07-16,18.0,31.0
2,2015-07-17,14.0,19.0
2,2015-07-18,7.0,8.0
2,2015-07-19,9.0,6.0
2,2015-07-20,19.0,20.0
2,2015-07-21,23.0,31.0
2,2015-07-22,31.0,23.0
2,2015-07-23,25.0,25.0
2,2015-07-24,25.0,28.0
2,2015-07-25,19.0,15.0
2,2015-07-26,9.0,12.0
2,2015-07-27,17.0,32.0
2,2015-07-28,17.0,33.0
2,2015-07-29,9.0,24.0
2,2015-07-30,12.0,17.0
2,2015-07-31,15.0,12.0
2,2015-08-01,14.0,9.0
2,2015-08-02,14.0,11.0
2,2015-08-03,13.0,14.0
2,2015-08-04,18.0,24.0
2,2015-08-05,9.0,21.0
2,2015-08-06,15.0,18.0
2,2015-08-07,21.0,15.0
2,2015-08-08,13.0,9.0
2,2015-08-09,15.0,9.0
2,2015-08-10,1.0,4.0
2,2015-08-11,21.0,27.0
2,2015-08-12,22.0,23.0
2,2015-08-13,22.0,20.0
2,2015-08-14,16.0,17.0
2,2015-08-15,10.0,11.0
2,2015-08-16,5.0,8.0
2,2015-08-17,20.0,24.0
2,2015-08-18,25.0,23.0
2,2015-08-19,13.0,19.0
2,2015-08-20,14.0,9.0
2,2015-08-21,26.0,21.0
2,2015-08-22,23.0,15.0
2,2015-08-23,15.0,15.0
2,2015-08-24,12.0,18.0
2,2015-08-25,20.0,20.0
2,2015-08-26,22.0,29.0
2,2015-08-27,28.0,23.0
2,2015-08-28,19.0,16.0
2,2015-08-29,14.0,14.0
2,2015-08-30,11.0,15.0
2,2015-08-31,15.0,24.0
3,2015-01-01,14.0,19.0
3,2015-01-02,13.0,19.0
3,2015-01-03,17.0,15.0
3,2015-01-04,16.0,15.0
3,2015-01-05,16.0,14.0
3,2015-01-06,13.0,15.0
3,2015-01-07,16.0,13.0
3,2015-01-08,15.0,20.0
3,2015-01-09,23.0,21.0
3,2015-01-10,36.0,39.0
3,2015-01-11,35.0,33.0
3,2015-01-12,19.0,19.0
3,2015-01-13,30.0,29.0
3,2015-01-14,19.0,21.0
3,2015-01-15,33.0,29.0
3,2015-01-16,19.0,25.0
3,2015-01-17,16.0,20.0
3,2015-01-18,42.0,26.0
3,2015-01-19,25.0,20.0
3,2015-01-20,21.0,23.0
3,2015-01-21,21.0,18.0
3,2015-01-22,25.0,27.0
3,2015-01-23,24.0,31.0
3,2015-01-24,15.0,27.0
3,2015-01-25,18.0,17.0
3,2015-01-26,24.0,27.0
3,2015-01-27,22.0,25.0
3,2015-01-28,23.0,27.0
3,2015-01-29,20.0,17.0
3,2015-01-30,28.0,32.0
3,2015-01-31,22.0,26.0
3,2015-02-01,23.0,24.0
3,2015-02-02,28.0,28.0
3,2015-02-03,22.0,24.0
3,2015-02-04,28.0,42.0
3,2015-02-05,24.0,30.0
3,2015-02-06,44.0,41.0
3,2015-02-07,36.0,34.0
3,2015-02-08,23.0,24.0
3,2015-02-09,19.0,22.0
3,2015-02-10,40.0,42.0
3,2015-02-11,29.0,29.0
3,2015-02-12,31.0,44.0
3,2015-02-13,29.0,31.0
3,2015-02-14,35.0,39.0
3,2015-02-15,24.0,16.0
3,2015-02-16,36.0,37.0
3,2015-02-17,23.0,21.0
3,2015-02-18,11.0,15.0
3,2015-02-19,7.0,9.0
3,2015-02-20,3.0,5.0
3,2015-02-21,13.0,12.0
3,2015-02-22,9.0,14.0
3,2015-02-23,21.0,19.0
3,2015-02-24,19.0,22.0
3,2015-02-25,37.0,35.0
3,2015-02-26,36.0,34.0
3,2015-02-27,30.0,32.0
3,2015-02-28,5.0,9.0
3,2015-03-01,32.0,28.0
3,2015-03-02,33.0,43.0
3,2015-03-03,29.0,37.0
3,2015-03-04,31.0,33.0
3,2015-03-05,42.0,39.0
3,2015-03-06,46.0,45.0
3,2015-03-07,37.0,35.0
3,2015-03-08,23.0,34.0
3,2015-03-09,34.0,34.0
3,2015-03-10,40.0,41.0
3,2015-03-11,49.0,40.0
3,2015-03-12,59.0,68.0
3,2015-03-13,60.0,55.0
3,2015-03-14,37.0,48.0
3,2015-03-15,39.0,54.0
3,2015-03-16,49.0,49.0
3,2015-03-17,17.0,26.0
3,2015-03-18,15.0,13.0
3,2015-03-19,59.0,59.0
3,2015-03-20,46.0,58.0
3,2015-03-21,62.0,73.0
3,2015-03-22,44.0,38.0
3,2015-03-23,53.0,57.0
3,2015-03-24,60.0,74.0
3,2015-03-25,63.0,63.0
3,2015-03-26,45.0,47.0
3,2015-03-27,46.0,42.0
3,2015-03-28,53.0,67.0
3,2015-03-29,44.0,50.0
3,2015-03-30,44.0,59.0
3,2015-03-31,50.0,54.0
3,2015-04-01,33.0,35.0
3,2015-04-02,40.0,38.0
3,2015-04-03,53.0,51.0
3,2015-04-04,21.0,21.0
3,2015-04-05,16.0,15.0
3,2015-04-06,32.0,43.0
3,2015-04-07,33.0,44.0
3,2015-04-08,47.0,53.0
3,2015-04-09,53.0,53.0
3,2015-04-10,67.0,65.0
3,2015-04-11,64.0,56.0
3,2015-04-12,55.0,54.0
3,2015-04-13,38.0,38.0
3,2015-04-14,59.0,62.0
3,2015-04-15,64.0,67.0
3,2015-04-16,69.0,61.0
3,2015-04-17,63.0,83.0
3,2015-04-18,51.0,51.0
3,2015-04-19,18.0,27.0
3,2015-04-20,62.0,58.0
3,2015-04-21,77.0,82.0
3,2015-04-22,64.0,63.0
3,2015-04-23,58.0,70.0
3,2015-04-24,75.0,66.0
3,2015-04-25,65.0,58.0
3,2015-04-26,47.0,57.0
3,2015-04-27,61.0,58.0
3,2015-04-28,47.0,53.0
3,2015-04-29,68.0,64.0
3,2015-04-30,55.0,63.0
3,2015-05-01,47.0,55.0
3,2015-05-02,14.0,15.0
3,2015-05-03,43.0,48.0
3,2015-05-04,53.0,54.0
3,2015-05-05,62.0,74.0
3,2015-05-06,58.0,62.0
3,2015-05-07,64.0,69.0
3,2015-05-08,32.0,42.0
3,2015-05-09,50.0,54.0
3,2015-05-10,74.0,65.0
3,2015-05-11,30.0,25.0
3,2015-05-12,54.0,61.0
3,2015-05-13,54.0,65.0
3,2015-05-14,59.0,72.0
3,2015-05-15,44.0,46.0
3,2015-05-16,68.0,75.0
3,2015-05-17,49.0,52.0
3,2015-05-18,58.0,68.0
3,2015-05-19,59.0,67.0
3,2015-05-20,78.0,74.0
3,2015-05-21,68.0,72.0
3,2015-05-22,58.0,54.0
3,2015-05-23,57.0,53.0
3,2015-05-24,44.0,43.0
3,2015-05-25,65.0,64.0
3,2015-05-26,55.0,58.0
3,2015-05-27,18.0,20.0
3,2015-05-28,61.0,61.0
3,2015-05-29,27.0,40.0
3,2015-05-30,45.0,55.0
3,2015-05-31,46.0,43.0
3,2015-06-01,54.0,56.0
3,2015-06-02,51.0,53.0
3,2015-06-03,58.0,62.0
3,2015-06-04,47.0,59.0
3,2015-06-05,59.0,57.0
3,2015-06-06,41.0,47.0
3,2015-06-07,49.0,45.0
3,2015-06-08,58.0,56.0
3,2015-06-09,72.0,61.0
3,2015-06-10,42.0,46.0
3,2015-06-11,54.0,51.0
3,2015-06-12,55.0,46.0
3,2015-06-13,46.0,52.0
3,2015-06-14,52.0,45.0
3,2015-06-15,51.0,51.0
3,2015-06-16,43.0,47.0
3,2015-06-17,35.0,45.0
3,2015-06-18,57.0,62.0
3,2015-06-19,51.0,42.0
3,2015-06-20,34.0,38.0
3,2015-06-21,52.0,43.0
3,2015-06-22,38.0,34.0
3,2015-06-23,47.0,50.0
3,2015-06-24,5.0,10.0
3,2015-06-25,28.0,20.0
3,2015-06-26,56.0,55.0
3,2015-06-27,38.0,39.0
3,2015-06-28,41.0,45.0
3,2015-06-29,32.0,36.0
3,2015-06-30,32.0,25.0
3,2015-07-01,72.0,48.0
3,2015-07-02,58.0,58.0
3,2015-07-03,62.0,57.0
3,2015-07-04,47.0,46.0
3,2015-07-05,47.0,51.0
3,2015-07-06,29.0,45.0
3,2015-07-07,72.0,73.0
3,2015-07-08,41.0,58.0
3,2015-07-09,59.0,65.0
3,2015-07-10,46.0,49.0
3,2015-07-11,14.0,18.0
3,2015-07-12,31.0,35.0
3,2015-07-13,56.0,52.0
3,2015-07-14,51.0,53.0
3,2015-07-15,56.0,62.0
3,2015-07-16,55.0,62.0
3,2015-07-17,23.0,15.0
3,2015-07-18,18.0,16.0
3,2015-07-19,12.0,9.0
3,2015-07-20,56.0,52.0
3,2015-07-21,58.0,56.0
3,2015-07-22,51.0,70.0
3,2015-07-23,68.0,67.0
3,2015-07-24,39.0,44.0
3,2015-07-25,37.0,36.0
3,2015-07-26,27.0,24.0
3,2015-07-27,49.0,52.0
3,2015-07-28,48.0,46.0
3,2015-07-29,38.0,41.0
3,2015-07-30,55.0,46.0
3,2015-07-31,30.0,30.0
3,2015-08-01,35.0,32.0
3,2015-08-02,41.0,35.0
3,2015-08-03,41.0,49.0
3,2015-08-04,36.0,34.0
3,2015-08-05,35.0,34.0
3,2015-08-06,41.0,41.0
3,2015-08-07,39.0,43.0
3,2015-08-08,35.0,31.0
3,2015-08-09,50.0,46.0
3,2015-08-10,6.0,10.0
3,2015-08-11,57.0,45.0
3,2015-08-12,61.0,52.0
3,2015-08-13,57.0,51.0
3,2015-08-14,49.0,47.0
3,2015-08-15,60.0,42.0
3,2015-08-16,40.0,41.0
3,2015-08-17,48.0,56.0
3,2015-08-18,59.0,64.0
3,2015-08-19,37.0,43.0
3,2015-08-20,37.0,41.0
3,2015-08-21,64.0,63.0
3,2015-08-22,61.0,65.0
3,2015-08-23,53.0,46.0
3,2015-08-24,41.0,37.0
3,2015-08-25,43.0,50.0
3,2015-08-26,54.0,52.0
3,2015-08-27,52.0,52.0
3,2015-08-28,46.0,49.0
3,2015-08-29,44.0,50.0
3,2015-08-30,51.0,40.0
3,2015-08-31,56.0,49.0
4,2015-01-01,6.0,5.0
4,2015-01-02,6.0,6.0
4,2015-01-03,6.0,6.0
4,2015-01-04,10.0,14.0
4,2015-01-05,10.0,9.0
4,2015-01-06,18.0,13.0
4,2015-01-07,7.0,9.0
4,2015-01-08,16.0,12.0
4,2015-01-09,10.0,6.0
4,2015-01-10,18.0,13.0
4,2015-01-11,9.0,9.0
4,2015-01-12,15.0,10.0
4,2015-01-13,22.0,16.0
4,2015-01-14,15.0,12.0
4,2015-01-15,18.0,17.0
4,2015-01-16,14.0,17.0
4,2015-01-17,18.0,17.0
4,2015-01-18,9.0,6.0
4,2015-01-19,25.0,26.0
4,2015-01-20,22.0,19.0
4,2015-01-21,20.0,14.0
4,2015-01-22,26.0,18.0
4,2015-01-23,18.0,14.0
4,2015-01-24,15.0,13.0
4,2015-01-25,9.0,8.0
4,2015-01-26,29.0,22.0
4,2015-01-27,22.0,12.0
4,2015-01-28,19.0,18.0
4,2015-01-29,7.0,7.0
4,2015-01-30,13.0,11.0
4,2015-01-31,18.0,15.0
4,2015-02-01,9.0,3.0
4,2015-02-02,25.0,20.0
4,2015-02-03,32.0,27.0
4,2015-02-04,17.0,8.0
4,2015-02-05,0.0,0.0
4,2015-02-06,0.0,0.0
4,2015-02-07,0.0,0.0
4,2015-02-08,0.0,0.0
4,2015-02-09,0.0,0.0
4,2015-02-10,0.0,0.0
4,2015-02-11,0.0,0.0
4,2015-02-12,0.0,0.0
4,2015-02-13,0.0,0.0
4,2015-02-14,0.0,0.0
4,2015-02-15,0.0,0.0
4,2015-02-16,0.0,0.0
4,2015-02-17,0.0,0.0
4,2015-02-18,0.0,0.0
4,2015-02-19,0.0,0.0
4,2015-02-20,0.0,0.0
4,2015-02-21,0.0,0.0
4,2015-02-22,0.0,0.0
4,2015-02-23,0.0,0.0
4,2015-02-24,0.0,0.0
4,2015-02-25,0.0,0.0
4,2015-02-26,0.0,0.0
4,2015-02-27,0.0,0.0
4,2015-02-28,0.0,0.0
4,2015-03-01,0.0,0.0
4,2015-03-02,0.0,0.0
4,2015-03-03,0.0,0.0
4,2015-03-04,0.0,0.0
4,2015-03-05,0.0,0.0
4,2015-03-06,0.0,0.0
4,2015-03-07,0.0,0.0
4,2015-03-08,0.0,0.0
4,2015-03-09,0.0,0.0
4,2015-03-10,0.0,0.0
4,2015-03-11,0.0,0.0
4,2015-03-12,0.0,0.0
4,2015-03-13,0.0,0.0
4,2015-03-14,0.0,0.0
4,2015-03-15,0.0,0.0
4,2015-03-16,0.0,0.0
4,2015-03-17,0.0,0.0
4,2015-03-18,0.0,0.0
4,2015-03-19,0.0,0.0
4,2015-03-20,0.0,0.0
4,2015-03-21,0.0,0.0
4,2015-03-22,0.0,0.0
4,2015-03-23,0.0,0.0
4,2015-03-24,0.0,0.0
4,2015-03-25,0.0,0.0
4,2015-03-26,0.0,0.0
4,2015-03-27,0.0,0.0
4,2015-03-28,0.0,0.0
4,2015-03-29,0.0,0.0
4,2015-03-30,0.0,0.0
4,2015-03-31,0.0,0.0
4,2015-04-01,0.0,0.0
4,2015-04-02,0.0,0.0
