SHEDID,time,RT,LEASE,date1,week_day,date
1,2015-02-18,3.0,7.0,2015-02-18,3,2015-02-18
1,2015-02-19,8.0,4.0,2015-02-19,4,2015-02-19
1,2015-02-20,2.0,2.0,2015-02-20,5,2015-02-20
1,2015-02-21,5.0,6.0,2015-02-21,6,2015-02-21
1,2015-02-22,6.0,5.0,2015-02-22,7,2015-02-22
1,2015-02-23,14.0,9.0,2015-02-23,1,2015-02-23
1,2015-02-24,21.0,20.0,2015-02-24,2,2015-02-24
1,2015-02-25,52.0,46.0,2015-02-25,3,2015-02-25
1,2015-02-26,64.0,70.0,2015-02-26,4,2015-02-26
1,2015-02-27,58.0,53.0,2015-02-27,5,2015-02-27
1,2015-02-28,32.0,23.0,2015-02-28,6,2015-02-28
1,2015-03-01,21.0,15.0,2015-03-01,7,2015-03-01
1,2015-03-02,73.0,72.0,2015-03-02,1,2015-03-02
1,2015-03-03,62.0,62.0,2015-03-03,2,2015-03-03
1,2015-03-04,51.0,49.0,2015-03-04,3,2015-03-04
1,2015-03-05,57.0,59.0,2015-03-05,4,2015-03-05
1,2015-03-06,68.0,67.0,2015-03-06,5,2015-03-06
1,2015-03-07,27.0,30.0,2015-03-07,6,2015-03-07
1,2015-03-08,18.0,8.0,2015-03-08,7,2015-03-08
1,2015-03-09,44.0,42.0,2015-03-09,1,2015-03-09
1,2015-03-10,75.0,69.0,2015-03-10,2,2015-03-10
1,2015-03-11,71.0,65.0,2015-03-11,3,2015-03-11
1,2015-03-12,84.0,75.0,2015-03-12,4,2015-03-12
1,2015-03-13,87.0,71.0,2015-03-13,5,2015-03-13
1,2015-03-14,30.0,25.0,2015-03-14,6,2015-03-14
1,2015-03-15,22.0,18.0,2015-03-15,7,2015-03-15
1,2015-03-16,86.0,96.0,2015-03-16,1,2015-03-16
1,2015-03-17,43.0,17.0,2015-03-17,2,2015-03-17
1,2015-03-18,16.0,17.0,2015-03-18,3,2015-03-18
1,2015-03-19,87.0,56.0,2015-03-19,4,2015-03-19
1,2015-03-20,90.0,82.0,2015-03-20,5,2015-03-20
1,2015-03-21,43.0,36.0,2015-03-21,6,2015-03-21
1,2015-03-22,25.0,27.0,2015-03-22,7,2015-03-22
1,2015-03-23,120.0,99.0,2015-03-23,1,2015-03-23
1,2015-03-24,105.0,105.0,2015-03-24,2,2015-03-24
1,2015-03-25,88.0,81.0,2015-03-25,3,2015-03-25
1,2015-03-26,82.0,78.0,2015-03-26,4,2015-03-26
1,2015-03-27,76.0,67.0,2015-03-27,5,2015-03-27
1,2015-03-28,37.0,32.0,2015-03-28,6,2015-03-28
1,2015-03-29,32.0,26.0,2015-03-29,7,2015-03-29
1,2015-03-30,100.0,102.0,2015-03-30,1,2015-03-30
1,2015-03-31,104.0,101.0,2015-03-31,2,2015-03-31
1,2015-04-01,79.0,63.0,2015-04-01,3,2015-04-01
1,2015-04-02,75.0,72.0,2015-04-02,4,2015-04-02
1,2015-04-03,76.0,68.0,2015-04-03,5,2015-04-03
1,2015-04-04,10.0,11.0,2015-04-04,6,2015-04-04
1,2015-04-05,9.0,8.0,2015-04-05,7,2015-04-05
1,2015-04-06,24.0,24.0,2015-04-06,1,2015-04-06
1,2015-04-07,75.0,65.0,2015-04-07,2,2015-04-07
1,2015-04-08,103.0,67.0,2015-04-08,3,2015-04-08
1,2015-04-09,73.0,71.0,2015-04-09,4,2015-04-09
1,2015-04-10,85.0,65.0,2015-04-10,5,2015-04-10
1,2015-04-11,88.0,78.0,2015-04-11,6,2015-04-11
1,2015-04-12,26.0,22.0,2015-04-12,7,2015-04-12
1,2015-04-13,81.0,53.0,2015-04-13,1,2015-04-13
1,2015-04-14,89.0,82.0,2015-04-14,2,2015-04-14
1,2015-04-15,98.0,86.0,2015-04-15,3,2015-04-15
1,2015-04-16,108.0,95.0,2015-04-16,4,2015-04-16
1,2015-04-17,88.0,76.0,2015-04-17,5,2015-04-17
1,2015-04-18,45.0,39.0,2015-04-18,6,2015-04-18
1,2015-04-19,26.0,16.0,2015-04-19,7,2015-04-19
1,2015-04-20,100.0,101.0,2015-04-20,1,2015-04-20
1,2015-04-21,101.0,86.0,2015-04-21,2,2015-04-21
1,2015-04-22,99.0,95.0,2015-04-22,3,2015-04-22
1,2015-04-23,101.0,88.0,2015-04-23,4,2015-04-23
1,2015-04-24,85.0,82.0,2015-04-24,5,2015-04-24
1,2015-04-25,42.0,46.0,2015-04-25,6,2015-04-25
1,2015-04-26,22.0,21.0,2015-04-26,7,2015-04-26
1,2015-04-27,116.0,118.0,2015-04-27,1,2015-04-27
1,2015-04-28,71.0,58.0,2015-04-28,2,2015-04-28
1,2015-04-29,88.0,74.0,2015-04-29,3,2015-04-29
1,2015-04-30,94.0,83.0,2015-04-30,4,2015-04-30
1,2015-05-01,19.0,18.0,2015-05-01,5,2015-05-01
1,2015-05-02,4.0,7.0,2015-05-02,6,2015-05-02
1,2015-05-03,33.0,29.0,2015-05-03,7,2015-05-03
1,2015-05-04,101.0,92.0,2015-05-04,1,2015-05-04
1,2015-05-05,105.0,99.0,2015-05-05,2,2015-05-05
1,2015-05-06,97.0,91.0,2015-05-06,3,2015-05-06
1,2015-05-07,104.0,100.0,2015-05-07,4,2015-05-07
1,2015-05-08,73.0,43.0,2015-05-08,5,2015-05-08
1,2015-05-09,36.0,27.0,2015-05-09,6,2015-05-09
1,2015-05-10,40.0,33.0,2015-05-10,7,2015-05-10
1,2015-05-11,33.0,46.0,2015-05-11,1,2015-05-11
1,2015-05-12,91.0,89.0,2015-05-12,2,2015-05-12
1,2015-05-13,102.0,93.0,2015-05-13,3,2015-05-13
1,2015-05-14,98.0,85.0,2015-05-14,4,2015-05-14
1,2015-05-15,47.0,55.0,2015-05-15,5,2015-05-15
1,2015-05-16,38.0,21.0,2015-05-16,6,2015-05-16
1,2015-05-17,33.0,29.0,2015-05-17,7,2015-05-17
1,2015-05-18,97.0,109.0,2015-05-18,1,2015-05-18
1,2015-05-19,95.0,97.0,2015-05-19,2,2015-05-19
1,2015-05-20,92.0,98.0,2015-05-20,3,2015-05-20
1,2015-05-21,87.0,91.0,2015-05-21,4,2015-05-21
1,2015-05-22,96.0,78.0,2015-05-22,5,2015-05-22
1,2015-05-23,44.0,43.0,2015-05-23,6,2015-05-23
1,2015-05-24,30.0,27.0,2015-05-24,7,2015-05-24
1,2015-05-25,126.0,130.0,2015-05-25,1,2015-05-25
1,2015-05-26,88.0,83.0,2015-05-26,2,2015-05-26
1,2015-05-27,34.0,38.0,2015-05-27,3,2015-05-27
1,2015-05-28,91.0,85.0,2015-05-28,4,2015-05-28
1,2015-05-29,53.0,27.0,2015-05-29,5,2015-05-29
1,2015-05-30,39.0,40.0,2015-05-30,6,2015-05-30
1,2015-05-31,27.0,32.0,2015-05-31,7,2015-05-31
1,2015-06-01,106.0,90.0,2015-06-01,1,2015-06-01
1,2015-06-02,58.0,45.0,2015-06-02,2,2015-06-02
1,2015-06-03,99.0,93.0,2015-06-03,3,2015-06-03
1,2015-06-04,90.0,69.0,2015-06-04,4,2015-06-04
1,2015-06-05,91.0,85.0,2015-06-05,5,2015-06-05
1,2015-06-06,34.0,27.0,2015-06-06,6,2015-06-06
1,2015-06-07,27.0,29.0,2015-06-07,7,2015-06-07
1,2015-06-08,124.0,115.0,2015-06-08,1,2015-06-08
1,2015-06-09,98.0,83.0,2015-06-09,2,2015-06-09
1,2015-06-10,74.0,53.0,2015-06-10,3,2015-06-10
1,2015-06-11,98.0,101.0,2015-06-11,4,2015-06-11
1,2015-06-12,72.0,69.0,2015-06-12,5,2015-06-12
1,2015-06-13,27.0,21.0,2015-06-13,6,2015-06-13
1,2015-06-14,28.0,26.0,2015-06-14,7,2015-06-14
1,2015-06-15,92.0,87.0,2015-06-15,1,2015-06-15
1,2015-06-16,67.0,52.0,2015-06-16,2,2015-06-16
1,2015-06-17,45.0,61.0,2015-06-17,3,2015-06-17
1,2015-06-18,94.0,80.0,2015-06-18,4,2015-06-18
1,2015-06-19,82.0,84.0,2015-06-19,5,2015-06-19
1,2015-06-20,27.0,20.0,2015-06-20,6,2015-06-20
1,2015-06-21,22.0,27.0,2015-06-21,7,2015-06-21
1,2015-06-22,21.0,21.0,2015-06-22,1,2015-06-22
1,2015-06-23,79.0,59.0,2015-06-23,2,2015-06-23
1,2015-06-24,9.0,11.0,2015-06-24,3,2015-06-24
1,2015-06-25,16.0,35.0,2015-06-25,4,2015-06-25
1,2015-06-26,68.0,66.0,2015-06-26,5,2015-06-26
1,2015-06-27,13.0,16.0,2015-06-27,6,2015-06-27
1,2015-06-28,34.0,30.0,2015-06-28,7,2015-06-28
1,2015-06-29,61.0,41.0,2015-06-29,1,2015-06-29
1,2015-06-30,46.0,61.0,2015-06-30,2,2015-06-30
1,2015-07-01,68.0,74.0,2015-07-01,3,2015-07-01
1,2015-07-02,83.0,76.0,2015-07-02,4,2015-07-02
1,2015-07-03,82.0,93.0,2015-07-03,5,2015-07-03
1,2015-07-04,36.0,33.0,2015-07-04,6,2015-07-04
1,2015-07-05,39.0,32.0,2015-07-05,7,2015-07-05
1,2015-07-06,74.0,50.0,2015-07-06,1,2015-07-06
1,2015-07-07,78.0,69.0,2015-07-07,2,2015-07-07
1,2015-07-08,107.0,98.0,2015-07-08,3,2015-07-08
1,2015-07-09,72.0,76.0,2015-07-09,4,2015-07-09
1,2015-07-10,78.0,66.0,2015-07-10,5,2015-07-10
1,2015-07-11,17.0,17.0,2015-07-11,6,2015-07-11
1,2015-07-12,16.0,19.0,2015-07-12,7,2015-07-12
1,2015-07-13,97.0,81.0,2015-07-13,1,2015-07-13
1,2015-07-14,79.0,61.0,2015-07-14,2,2015-07-14
1,2015-07-15,76.0,60.0,2015-07-15,3,2015-07-15
1,2015-07-16,67.0,70.0,2015-07-16,4,2015-07-16
1,2015-07-17,28.0,36.0,2015-07-17,5,2015-07-17
1,2015-07-18,12.0,14.0,2015-07-18,6,2015-07-18
1,2015-07-19,12.0,12.0,2015-07-19,7,2015-07-19
1,2015-07-20,105.0,100.0,2015-07-20,1,2015-07-20
1,2015-07-21,76.0,74.0,2015-07-21,2,2015-07-21
1,2015-07-22,77.0,65.0,2015-07-22,3,2015-07-22
1,2015-07-23,72.0,67.0,2015-07-23,4,2015-07-23
1,2015-07-24,44.0,36.0,2015-07-24,5,2015-07-24
1,2015-07-25,41.0,30.0,2015-07-25,6,2015-07-25
1,2015-07-26,27.0,23.0,2015-07-26,7,2015-07-26
1,2015-07-27,81.0,78.0,2015-07-27,1,2015-07-27
1,2015-07-28,59.0,46.0,2015-07-28,2,2015-07-28
1,2015-07-29,37.0,45.0,2015-07-29,3,2015-07-29
1,2015-07-30,47.0,55.0,2015-07-30,4,2015-07-30
1,2015-07-31,46.0,33.0,2015-07-31,5,2015-07-31
1,2015-08-01,17.0,15.0,2015-08-01,6,2015-08-01
1,2015-08-02,25.0,27.0,2015-08-02,7,2015-08-02
1,2015-08-03,51.0,59.0,2015-08-03,1,2015-08-03
1,2015-08-04,24.0,44.0,2015-08-04,2,2015-08-04
1,2015-08-05,35.0,32.0,2015-08-05,3,2015-08-05
1,2015-08-06,35.0,36.0,2015-08-06,4,2015-08-06
1,2015-08-07,41.0,36.0,2015-08-07,5,2015-08-07
1,2015-08-08,24.0,21.0,2015-08-08,6,2015-08-08
1,2015-08-09,26.0,10.0,2015-08-09,7,2015-08-09
1,2015-08-10,6.0,9.0,2015-08-10,1,2015-08-10
1,2015-08-11,49.0,66.0,2015-08-11,2,2015-08-11
1,2015-08-12,61.0,61.0,2015-08-12,3,2015-08-12
1,2015-08-13,44.0,43.0,2015-08-13,4,2015-08-13
1,2015-08-14,50.0,45.0,2015-08-14,5,2015-08-14
1,2015-08-15,28.0,19.0,2015-08-15,6,2015-08-15
1,2015-08-16,17.0,21.0,2015-08-16,7,2015-08-16
1,2015-08-17,45.0,54.0,2015-08-17,1,2015-08-17
1,2015-08-18,51.0,47.0,2015-08-18,2,2015-08-18
1,2015-08-19,29.0,26.0,2015-08-19,3,2015-08-19
1,2015-08-20,21.0,33.0,2015-08-20,4,2015-08-20
1,2015-08-21,48.0,35.0,2015-08-21,5,2015-08-21
1,2015-08-22,27.0,26.0,2015-08-22,6,2015-08-22
1,2015-08-23,13.0,17.0,2015-08-23,7,2015-08-23
1,2015-08-24,41.0,58.0,2015-08-24,1,2015-08-24
1,2015-08-25,46.0,55.0,2015-08-25,2,2015-08-25
1,2015-08-26,40.0,44.0,2015-08-26,3,2015-08-26
1,2015-08-27,39.0,46.0,2015-08-27,4,2015-08-27
1,2015-08-28,38.0,51.0,2015-08-28,5,2015-08-28
1,2015-08-29,16.0,12.0,2015-08-29,6,2015-08-29
1,2015-08-30,26.0,23.0,2015-08-30,7,2015-08-30
1,2015-08-31,53.0,59.0,2015-08-31,1,2015-08-31
2,2015-01-01,5.0,5.0,2015-01-01,4,2015-01-01
2,2015-01-02,9.0,9.0,2015-01-02,5,2015-01-02
2,2015-01-03,2.0,6.0,2015-01-03,6,2015-01-03
2,2015-01-04,10.0,6.0,2015-01-04,7,2015-01-04
2,2015-01-05,12.0,9.0,2015-01-05,1,2015-01-05
2,2015-01-06,11.0,6.0,2015-01-06,2,2015-01-06
2,2015-01-07,7.0,7.0,2015-01-07,3,2015-01-07
2,2015-01-08,13.0,6.0,2015-01-08,4,2015-01-08
2,2015-01-09,15.0,9.0,2015-01-09,5,2015-01-09
2,2015-01-10,12.0,9.0,2015-01-10,6,2015-01-10
2,2015-01-11,10.0,12.0,2015-01-11,7,2015-01-11
2,2015-01-12,4.0,8.0,2015-01-12,1,2015-01-12
2,2015-01-13,16.0,14.0,2015-01-13,2,2015-01-13
2,2015-01-14,16.0,12.0,2015-01-14,3,2015-01-14
2,2015-01-15,9.0,16.0,2015-01-15,4,2015-01-15
2,2015-01-16,11.0,12.0,2015-01-16,5,2015-01-16
2,2015-01-17,12.0,7.0,2015-01-17,6,2015-01-17
2,2015-01-18,11.0,11.0,2015-01-18,7,2015-01-18
2,2015-01-19,13.0,19.0,2015-01-19,1,2015-01-19
2,2015-01-20,16.0,18.0,2015-01-20,2,2015-01-20
2,2015-01-21,14.0,23.0,2015-01-21,3,2015-01-21
2,2015-01-22,14.0,17.0,2015-01-22,4,2015-01-22
2,2015-01-23,10.0,17.0,2015-01-23,5,2015-01-23
2,2015-01-24,15.0,10.0,2015-01-24,6,2015-01-24
2,2015-01-25,0.0,4.0,2015-01-25,7,2015-01-25
2,2015-01-26,19.0,19.0,2015-01-26,1,2015-01-26
2,2015-01-27,17.0,17.0,2015-01-27,2,2015-01-27
2,2015-01-28,18.0,17.0,2015-01-28,3,2015-01-28
2,2015-01-29,8.0,12.0,2015-01-29,4,2015-01-29
2,2015-01-30,5.0,13.0,2015-01-30,5,2015-01-30
2,2015-01-31,9.0,10.0,2015-01-31,6,2015-01-31
2,2015-02-01,10.0,8.0,2015-02-01,7,2015-02-01
2,2015-02-02,7.0,13.0,2015-02-02,1,2015-02-02
2,2015-02-03,9.0,14.0,2015-02-03,2,2015-02-03
2,2015-02-04,11.0,14.0,2015-02-04,3,2015-02-04
2,2015-02-05,15.0,17.0,2015-02-05,4,2015-02-05
2,2015-02-06,18.0,18.0,2015-02-06,5,2015-02-06
2,2015-02-07,14.0,17.0,2015-02-07,6,2015-02-07
2,2015-02-08,6.0,7.0,2015-02-08,7,2015-02-08
2,2015-02-09,8.0,8.0,2015-02-09,1,2015-02-09
2,2015-02-10,17.0,14.0,2015-02-10,2,2015-02-10
2,2015-02-11,13.0,27.0,2015-02-11,3,2015-02-11
2,2015-02-12,13.0,21.0,2015-02-12,4,2015-02-12
2,2015-02-13,15.0,20.0,2015-02-13,5,2015-02-13
2,2015-02-14,9.0,8.0,2015-02-14,6,2015-02-14
2,2015-02-15,8.0,7.0,2015-02-15,7,2015-02-15
2,2015-02-16,11.0,16.0,2015-02-16,1,2015-02-16
2,2015-02-17,10.0,7.0,2015-02-17,2,2015-02-17
2,2015-02-18,3.0,8.0,2015-02-18,3,2015-02-18
2,2015-02-19,4.0,4.0,2015-02-19,4,2015-02-19
2,2015-02-20,1.0,1.0,2015-02-20,5,2015-02-20
2,2015-02-21,3.0,2.0,2015-02-21,6,2015-02-21
2,2015-02-22,5.0,2.0,2015-02-22,7,2015-02-22
2,2015-02-23,2.0,5.0,2015-02-23,1,2015-02-23
2,2015-02-24,10.0,9.0,2015-02-24,2,2015-02-24
2,2015-02-25,16.0,15.0,2015-02-25,3,2015-02-25
2,2015-02-26,23.0,24.0,2015-02-26,4,2015-02-26
2,2015-02-27,16.0,14.0,2015-02-27,5,2015-02-27
2,2015-02-28,9.0,11.0,2015-02-28,6,2015-02-28
2,2015-03-01,14.0,15.0,2015-03-01,7,2015-03-01
2,2015-03-02,19.0,20.0,2015-03-02,1,2015-03-02
2,2015-03-03,15.0,15.0,2015-03-03,2,2015-03-03
2,2015-03-04,15.0,18.0,2015-03-04,3,2015-03-04
2,2015-03-05,20.0,27.0,2015-03-05,4,2015-03-05
2,2015-03-06,21.0,18.0,2015-03-06,5,2015-03-06
2,2015-03-07,17.0,27.0,2015-03-07,6,2015-03-07
2,2015-03-08,12.0,8.0,2015-03-08,7,2015-03-08
2,2015-03-09,14.0,21.0,2015-03-09,1,2015-03-09
2,2015-03-10,17.0,16.0,2015-03-10,2,2015-03-10
2,2015-03-11,14.0,19.0,2015-03-11,3,2015-03-11
2,2015-03-12,18.0,23.0,2015-03-12,4,2015-03-12
2,2015-03-13,21.0,25.0,2015-03-13,5,2015-03-13
2,2015-03-14,19.0,22.0,2015-03-14,6,2015-03-14
2,2015-03-15,9.0,20.0,2015-03-15,7,2015-03-15
2,2015-03-16,17.0,26.0,2015-03-16,1,2015-03-16
2,2015-03-17,14.0,10.0,2015-03-17,2,2015-03-17
2,2015-03-18,6.0,3.0,2015-03-18,3,2015-03-18
2,2015-03-19,16.0,23.0,2015-03-19,4,2015-03-19
2,2015-03-20,28.0,30.0,2015-03-20,5,2015-03-20
2,2015-03-21,16.0,23.0,2015-03-21,6,2015-03-21
2,2015-03-22,17.0,18.0,2015-03-22,7,2015-03-22
2,2015-03-23,23.0,22.0,2015-03-23,1,2015-03-23
2,2015-03-24,20.0,27.0,2015-03-24,2,2015-03-24
2,2015-03-25,24.0,24.0,2015-03-25,3,2015-03-25
2,2015-03-26,16.0,28.0,2015-03-26,4,2015-03-26
2,2015-03-27,23.0,20.0,2015-03-27,5,2015-03-27
2,2015-03-28,24.0,24.0,2015-03-28,6,2015-03-28
2,2015-03-29,16.0,24.0,2015-03-29,7,2015-03-29
2,2015-03-30,29.0,28.0,2015-03-30,1,2015-03-30
2,2015-03-31,17.0,27.0,2015-03-31,2,2015-03-31
2,2015-04-01,23.0,22.0,2015-04-01,3,2015-04-01
2,2015-04-02,18.0,20.0,2015-04-02,4,2015-04-02
2,2015-04-03,23.0,18.0,2015-04-03,5,2015-04-03
2,2015-04-04,7.0,9.0,2015-04-04,6,2015-04-04
2,2015-04-05,10.0,7.0,2015-04-05,7,2015-04-05
2,2015-04-06,12.0,17.0,2015-04-06,1,2015-04-06
2,2015-04-07,23.0,27.0,2015-04-07,2,2015-04-07
2,2015-04-08,22.0,21.0,2015-04-08,3,2015-04-08
2,2015-04-09,26.0,35.0,2015-04-09,4,2015-04-09
2,2015-04-10,27.0,34.0,2015-04-10,5,2015-04-10
2,2015-04-11,25.0,24.0,2015-04-11,6,2015-04-11
2,2015-04-12,14.0,23.0,2015-04-12,7,2015-04-12
2,2015-04-13,22.0,25.0,2015-04-13,1,2015-04-13
2,2015-04-14,26.0,25.0,2015-04-14,2,2015-04-14
2,2015-04-15,17.0,22.0,2015-04-15,3,2015-04-15
2,2015-04-16,27.0,27.0,2015-04-16,4,2015-04-16
2,2015-04-17,27.0,31.0,2015-04-17,5,2015-04-17
2,2015-04-18,21.0,25.0,2015-04-18,6,2015-04-18
2,2015-04-19,14.0,6.0,2015-04-19,7,2015-04-19
2,2015-04-20,25.0,31.0,2015-04-20,1,2015-04-20
2,2015-04-21,23.0,36.0,2015-04-21,2,2015-04-21
2,2015-04-22,36.0,38.0,2015-04-22,3,2015-04-22
2,2015-04-23,34.0,30.0,2015-04-23,4,2015-04-23
2,2015-04-24,27.0,36.0,2015-04-24,5,2015-04-24
2,2015-04-25,23.0,33.0,2015-04-25,6,2015-04-25
2,2015-04-26,23.0,22.0,2015-04-26,7,2015-04-26
2,2015-04-27,20.0,36.0,2015-04-27,1,2015-04-27
2,2015-04-28,23.0,21.0,2015-04-28,2,2015-04-28
2,2015-04-29,31.0,30.0,2015-04-29,3,2015-04-29
2,2015-04-30,36.0,44.0,2015-04-30,4,2015-04-30
2,2015-05-01,20.0,21.0,2015-05-01,5,2015-05-01
2,2015-05-02,1.0,9.0,2015-05-02,6,2015-05-02
2,2015-05-03,20.0,26.0,2015-05-03,7,2015-05-03
2,2015-05-04,18.0,31.0,2015-05-04,1,2015-05-04
2,2015-05-05,34.0,34.0,2015-05-05,2,2015-05-05
2,2015-05-06,44.0,48.0,2015-05-06,3,2015-05-06
2,2015-05-07,28.0,36.0,2015-05-07,4,2015-05-07
2,2015-05-08,23.0,28.0,2015-05-08,5,2015-05-08
2,2015-05-09,14.0,25.0,2015-05-09,6,2015-05-09
2,2015-05-10,9.0,13.0,2015-05-10,7,2015-05-10
2,2015-05-11,18.0,24.0,2015-05-11,1,2015-05-11
2,2015-05-12,21.0,38.0,2015-05-12,2,2015-05-12
2,2015-05-13,26.0,35.0,2015-05-13,3,2015-05-13
2,2015-05-14,20.0,24.0,2015-05-14,4,2015-05-14
2,2015-05-15,20.0,21.0,2015-05-15,5,2015-05-15
2,2015-05-16,27.0,30.0,2015-05-16,6,2015-05-16
2,2015-05-17,20.0,34.0,2015-05-17,7,2015-05-17
2,2015-05-18,25.0,32.0,2015-05-18,1,2015-05-18
2,2015-05-19,29.0,31.0,2015-05-19,2,2015-05-19
2,2015-05-20,25.0,24.0,2015-05-20,3,2015-05-20
2,2015-05-21,29.0,32.0,2015-05-21,4,2015-05-21
2,2015-05-22,23.0,23.0,2015-05-22,5,2015-05-22
2,2015-05-23,21.0,15.0,2015-05-23,6,2015-05-23
2,2015-05-24,12.0,20.0,2015-05-24,7,2015-05-24
2,2015-05-25,30.0,22.0,2015-05-25,1,2015-05-25
2,2015-05-26,21.0,27.0,2015-05-26,2,2015-05-26
2,2015-05-27,7.0,8.0,2015-05-27,3,2015-05-27
2,2015-05-28,31.0,28.0,2015-05-28,4,2015-05-28
2,2015-05-29,21.0,17.0,2015-05-29,5,2015-05-29
2,2015-05-30,20.0,22.0,2015-05-30,6,2015-05-30
2,2015-05-31,13.0,23.0,2015-05-31,7,2015-05-31
2,2015-06-01,34.0,34.0,2015-06-01,1,2015-06-01
2,2015-06-02,23.0,20.0,2015-06-02,2,2015-06-02
2,2015-06-03,22.0,30.0,2015-06-03,3,2015-06-03
2,2015-06-04,30.0,31.0,2015-06-04,4,2015-06-04
2,2015-06-05,23.0,28.0,2015-06-05,5,2015-06-05
2,2015-06-06,10.0,22.0,2015-06-06,6,2015-06-06
2,2015-06-07,23.0,26.0,2015-06-07,7,2015-06-07
2,2015-06-08,26.0,28.0,2015-06-08,1,2015-06-08
2,2015-06-09,29.0,33.0,2015-06-09,2,2015-06-09
2,2015-06-10,24.0,26.0,2015-06-10,3,2015-06-10
2,2015-06-11,31.0,26.0,2015-06-11,4,2015-06-11
2,2015-06-12,25.0,36.0,2015-06-12,5,2015-06-12
2,2015-06-13,16.0,18.0,2015-06-13,6,2015-06-13
2,2015-06-14,12.0,17.0,2015-06-14,7,2015-06-14
2,2015-06-15,32.0,27.0,2015-06-15,1,2015-06-15
2,2015-06-16,15.0,23.0,2015-06-16,2,2015-06-16
2,2015-06-17,20.0,23.0,2015-06-17,3,2015-06-17
2,2015-06-18,24.0,24.0,2015-06-18,4,2015-06-18
2,2015-06-19,31.0,33.0,2015-06-19,5,2015-06-19
2,2015-06-20,13.0,23.0,2015-06-20,6,2015-06-20
2,2015-06-21,13.0,19.0,2015-06-21,7,2015-06-21
2,2015-06-22,16.0,20.0,2015-06-22,1,2015-06-22
2,2015-06-23,27.0,30.0,2015-06-23,2,2015-06-23
2,2015-06-24,2.0,7.0,2015-06-24,3,2015-06-24
2,2015-06-25,12.0,17.0,2015-06-25,4,2015-06-25
2,2015-06-26,27.0,23.0,2015-06-26,5,2015-06-26
2,2015-06-27,14.0,11.0,2015-06-27,6,2015-06-27
2,2015-06-28,19.0,28.0,2015-06-28,7,2015-06-28
2,2015-06-29,22.0,17.0,2015-06-29,1,2015-06-29
2,2015-06-30,10.0,13.0,2015-06-30,2,2015-06-30
2,2015-07-01,26.0,28.0,2015-07-01,3,2015-07-01
2,2015-07-02,30.0,31.0,2015-07-02,4,2015-07-02
2,2015-07-03,23.0,28.0,2015-07-03,5,2015-07-03
2,2015-07-04,20.0,21.0,2015-07-04,6,2015-07-04
2,2015-07-05,18.0,28.0,2015-07-05,7,2015-07-05
2,2015-07-06,18.0,21.0,2015-07-06,1,2015-07-06
2,2015-07-07,27.0,24.0,2015-07-07,2,2015-07-07
2,2015-07-08,25.0,26.0,2015-07-08,3,2015-07-08
2,2015-07-09,33.0,23.0,2015-07-09,4,2015-07-09
2,2015-07-10,29.0,32.0,2015-07-10,5,2015-07-10
2,2015-07-11,7.0,10.0,2015-07-11,6,2015-07-11
